nomor,filename,sumber,nama_toko,tanggal,nama_barang,jumlah_barang,harga_satuan,total_harga_item,raw_text
134,primer_0054.jpg,primer,PT Depok Distribusindo Raya,20.10.2015,FODDRTO KOPI NONGKRUNG 15OL.ISI24,5.0,19500.0,97500.0,"PT Depok Distribusindo Raya
No.NPHP07.106.142.5-641.2000
SURAT PENGANTAR
2153250060
Tgl.Pengukuhan Pxp20.10.2015
Tanggal4.09.2025
Hal/1
JLRaya 3ogor Km 37 No 107Depok Telp 021 B792853-55
Pembeli1928307/1928307
Kirim Ke928307
RESY-
2153250069
KIDS.NADYA/ETIN NURHAYATL
KIOS.NADYA/ETIN NURHAYATI
KELUHAN PELANGGAN
DEPOK
.BELINBING4 RT.2 U.15 N.BB4 14 KEL.SUKATANT KA021-50957907
P390230259-2512411351
DEPOK
NOMOR
NO.SHIPMENT
SALES
PEMBAYARAN
TANGGAL
NOMOR MOBIL
NOMOR POLISI
ORDER
JATUH TEMPO
NAMA SUPIR
80238152
REGY
176060904
CASH
24.09.2025
TDX000399
9852TCH
Sunawae
QUANTITY
KODE
BATCH
ISI
HARGA
PROMO
NAMA BARANG
REGULAR
JUMLAH
BARANG
Pcs
(Rp.)
DISCOUNT
DISCOUNT
(Rp.)
SPCS
1060009
ERONDMI CREAM DET LEHDNSOO BAG 14SGR
1FCS
1.700
8.500
5PCS
$1112
EKONOMT CREANDET IDLETEOO BAG 14ECR
1FCS
1.700
8.500
1X
20324
FODDRTO KOPI NONGKRUNG 15OL.ISI24
24FCS
19.500
19.500
2BUX
$0038
TEH RIO CULA CATU CUP 1AOML
24PCS
19.300
38.600
36PCS
10751
ZINC SHAMPOO BLACK SHINE DB SCT 1OML
1PCS
390
669
13.371
36FCS
10748
ZINC SHAMPOO REFRESHIHG COOL.OO SCT 1ONL
IPCS
390
669
13.371
90PCS
$0262
1CS
1.680
53.423
97.777
7FCS
2980
S
SEDAAP TE SORENG ALA CHEF BAG S3GR
1FCS
2.845,86
SEDAAP HIE CUNENG ALA CHEF BAC 93GR
19.921
3PCS
$2988
)>
1PCS
2.846
1Bx
SUKSES MIE CURENG AYM KREHES DAG 133R
8.538
24PCs
10032
84.650
3FCS
1.000
83.650
1ACS
2.70967
1B0X
20289
FOODRTD COLDA CAPPUCCINO 200 L ISI 12
8.129
12S
10PCS
34.800
20153
34.800
1PC3
10154
1.63900
10PCS
BTABEE REGULAR SRLD SEAUEEDISSR RERCENG
16.398
1PCS
1.63980
16.399
Harga sudah termasuk PPN
anda >>Trade PronoT
Klaim-Kesalahan Faktur tidak dilayani setelah dokumen ini ditanda tangani.
2.
Bila LUNAS Surat Pengantar as WAJIB diambil.Jika TIDAK, maka tetap menjadi tanggung jawab pelanggan.
3.
SUB TOTAL
00 Koli
4.Pembayaran dengan Giro harap diatasnamakan
387.453
K.259501,08
Hohon Penbayaran Hanya ke
PT Depok Distribusindo Raya Rekening yang Tertera Disini
Bank
Trade Prono
Selesai dibongkar jam....
8.538
Sebelum ditanda-tangan,harap diperiksa dengan benar.
Jika pesanan tidak sesuaihubungi
keluhan pelanggan 2x24 janIanpirkan
I Kude oustoner dan DetaiI nasalah
2.Bukti Sp dan lahel list
Ardiansyaht.
24.09.202523:55:59
Pembell (Nama &Stempel)
TOTAL YANG
Penjual
DIBAYAR
378.915
Lembar1Penjual CR/Pembeli Cash)
Lembar2Accounting
Lembar3Pembeli (CR/Penjual Cash)
Lembar4:Ekspedisi"
135,primer_0054.jpg,primer,PT Depok Distribusindo Raya,20.10.2015,669,1.0,13371.0,13371.0,"PT Depok Distribusindo Raya
No.NPHP07.106.142.5-641.2000
SURAT PENGANTAR
2153250060
Tgl.Pengukuhan Pxp20.10.2015
Tanggal4.09.2025
Hal/1
JLRaya 3ogor Km 37 No 107Depok Telp 021 B792853-55
Pembeli1928307/1928307
Kirim Ke928307
RESY-
2153250069
KIDS.NADYA/ETIN NURHAYATL
KIOS.NADYA/ETIN NURHAYATI
KELUHAN PELANGGAN
DEPOK
.BELINBING4 RT.2 U.15 N.BB4 14 KEL.SUKATANT KA021-50957907
P390230259-2512411351
DEPOK
NOMOR
NO.SHIPMENT
SALES
PEMBAYARAN
TANGGAL
NOMOR MOBIL
NOMOR POLISI
ORDER
JATUH TEMPO
NAMA SUPIR
80238152
REGY
176060904
CASH
24.09.2025
TDX000399
9852TCH
Sunawae
QUANTITY
KODE
BATCH
ISI
HARGA
PROMO
NAMA BARANG
REGULAR
JUMLAH
BARANG
Pcs
(Rp.)
DISCOUNT
DISCOUNT
(Rp.)
SPCS
1060009
ERONDMI CREAM DET LEHDNSOO BAG 14SGR
1FCS
1.700
8.500
5PCS
$1112
EKONOMT CREANDET IDLETEOO BAG 14ECR
1FCS
1.700
8.500
1X
20324
FODDRTO KOPI NONGKRUNG 15OL.ISI24
24FCS
19.500
19.500
2BUX
$0038
TEH RIO CULA CATU CUP 1AOML
24PCS
19.300
38.600
36PCS
10751
ZINC SHAMPOO BLACK SHINE DB SCT 1OML
1PCS
390
669
13.371
36FCS
10748
ZINC SHAMPOO REFRESHIHG COOL.OO SCT 1ONL
IPCS
390
669
13.371
90PCS
$0262
1CS
1.680
53.423
97.777
7FCS
2980
S
SEDAAP TE SORENG ALA CHEF BAG S3GR
1FCS
2.845,86
SEDAAP HIE CUNENG ALA CHEF BAC 93GR
19.921
3PCS
$2988
)>
1PCS
2.846
1Bx
SUKSES MIE CURENG AYM KREHES DAG 133R
8.538
24PCs
10032
84.650
3FCS
1.000
83.650
1ACS
2.70967
1B0X
20289
FOODRTD COLDA CAPPUCCINO 200 L ISI 12
8.129
12S
10PCS
34.800
20153
34.800
1PC3
10154
1.63900
10PCS
BTABEE REGULAR SRLD SEAUEEDISSR RERCENG
16.398
1PCS
1.63980
16.399
Harga sudah termasuk PPN
anda >>Trade PronoT
Klaim-Kesalahan Faktur tidak dilayani setelah dokumen ini ditanda tangani.
2.
Bila LUNAS Surat Pengantar as WAJIB diambil.Jika TIDAK, maka tetap menjadi tanggung jawab pelanggan.
3.
SUB TOTAL
00 Koli
4.Pembayaran dengan Giro harap diatasnamakan
387.453
K.259501,08
Hohon Penbayaran Hanya ke
PT Depok Distribusindo Raya Rekening yang Tertera Disini
Bank
Trade Prono
Selesai dibongkar jam....
8.538
Sebelum ditanda-tangan,harap diperiksa dengan benar.
Jika pesanan tidak sesuaihubungi
keluhan pelanggan 2x24 janIanpirkan
I Kude oustoner dan DetaiI nasalah
2.Bukti Sp dan lahel list
Ardiansyaht.
24.09.202523:55:59
Pembell (Nama &Stempel)
TOTAL YANG
Penjual
DIBAYAR
378.915
Lembar1Penjual CR/Pembeli Cash)
Lembar2Accounting
Lembar3Pembeli (CR/Penjual Cash)
Lembar4:Ekspedisi"
136,primer_0054.jpg,primer,PT Depok Distribusindo Raya,20.10.2015,IPCS,390.0,669.0,13371.0,"PT Depok Distribusindo Raya
No.NPHP07.106.142.5-641.2000
SURAT PENGANTAR
2153250060
Tgl.Pengukuhan Pxp20.10.2015
Tanggal4.09.2025
Hal/1
JLRaya 3ogor Km 37 No 107Depok Telp 021 B792853-55
Pembeli1928307/1928307
Kirim Ke928307
RESY-
2153250069
KIDS.NADYA/ETIN NURHAYATL
KIOS.NADYA/ETIN NURHAYATI
KELUHAN PELANGGAN
DEPOK
.BELINBING4 RT.2 U.15 N.BB4 14 KEL.SUKATANT KA021-50957907
P390230259-2512411351
DEPOK
NOMOR
NO.SHIPMENT
SALES
PEMBAYARAN
TANGGAL
NOMOR MOBIL
NOMOR POLISI
ORDER
JATUH TEMPO
NAMA SUPIR
80238152
REGY
176060904
CASH
24.09.2025
TDX000399
9852TCH
Sunawae
QUANTITY
KODE
BATCH
ISI
HARGA
PROMO
NAMA BARANG
REGULAR
JUMLAH
BARANG
Pcs
(Rp.)
DISCOUNT
DISCOUNT
(Rp.)
SPCS
1060009
ERONDMI CREAM DET LEHDNSOO BAG 14SGR
1FCS
1.700
8.500
5PCS
$1112
EKONOMT CREANDET IDLETEOO BAG 14ECR
1FCS
1.700
8.500
1X
20324
FODDRTO KOPI NONGKRUNG 15OL.ISI24
24FCS
19.500
19.500
2BUX
$0038
TEH RIO CULA CATU CUP 1AOML
24PCS
19.300
38.600
36PCS
10751
ZINC SHAMPOO BLACK SHINE DB SCT 1OML
1PCS
390
669
13.371
36FCS
10748
ZINC SHAMPOO REFRESHIHG COOL.OO SCT 1ONL
IPCS
390
669
13.371
90PCS
$0262
1CS
1.680
53.423
97.777
7FCS
2980
S
SEDAAP TE SORENG ALA CHEF BAG S3GR
1FCS
2.845,86
SEDAAP HIE CUNENG ALA CHEF BAC 93GR
19.921
3PCS
$2988
)>
1PCS
2.846
1Bx
SUKSES MIE CURENG AYM KREHES DAG 133R
8.538
24PCs
10032
84.650
3FCS
1.000
83.650
1ACS
2.70967
1B0X
20289
FOODRTD COLDA CAPPUCCINO 200 L ISI 12
8.129
12S
10PCS
34.800
20153
34.800
1PC3
10154
1.63900
10PCS
BTABEE REGULAR SRLD SEAUEEDISSR RERCENG
16.398
1PCS
1.63980
16.399
Harga sudah termasuk PPN
anda >>Trade PronoT
Klaim-Kesalahan Faktur tidak dilayani setelah dokumen ini ditanda tangani.
2.
Bila LUNAS Surat Pengantar as WAJIB diambil.Jika TIDAK, maka tetap menjadi tanggung jawab pelanggan.
3.
SUB TOTAL
00 Koli
4.Pembayaran dengan Giro harap diatasnamakan
387.453
K.259501,08
Hohon Penbayaran Hanya ke
PT Depok Distribusindo Raya Rekening yang Tertera Disini
Bank
Trade Prono
Selesai dibongkar jam....
8.538
Sebelum ditanda-tangan,harap diperiksa dengan benar.
Jika pesanan tidak sesuaihubungi
keluhan pelanggan 2x24 janIanpirkan
I Kude oustoner dan DetaiI nasalah
2.Bukti Sp dan lahel list
Ardiansyaht.
24.09.202523:55:59
Pembell (Nama &Stempel)
TOTAL YANG
Penjual
DIBAYAR
378.915
Lembar1Penjual CR/Pembeli Cash)
Lembar2Accounting
Lembar3Pembeli (CR/Penjual Cash)
Lembar4:Ekspedisi"
137,primer_0054.jpg,primer,PT Depok Distribusindo Raya,20.10.2015,S,90.0,284586.0,25612740.0,"PT Depok Distribusindo Raya
No.NPHP07.106.142.5-641.2000
SURAT PENGANTAR
2153250060
Tgl.Pengukuhan Pxp20.10.2015
Tanggal4.09.2025
Hal/1
JLRaya 3ogor Km 37 No 107Depok Telp 021 B792853-55
Pembeli1928307/1928307
Kirim Ke928307
RESY-
2153250069
KIDS.NADYA/ETIN NURHAYATL
KIOS.NADYA/ETIN NURHAYATI
KELUHAN PELANGGAN
DEPOK
.BELINBING4 RT.2 U.15 N.BB4 14 KEL.SUKATANT KA021-50957907
P390230259-2512411351
DEPOK
NOMOR
NO.SHIPMENT
SALES
PEMBAYARAN
TANGGAL
NOMOR MOBIL
NOMOR POLISI
ORDER
JATUH TEMPO
NAMA SUPIR
80238152
REGY
176060904
CASH
24.09.2025
TDX000399
9852TCH
Sunawae
QUANTITY
KODE
BATCH
ISI
HARGA
PROMO
NAMA BARANG
REGULAR
JUMLAH
BARANG
Pcs
(Rp.)
DISCOUNT
DISCOUNT
(Rp.)
SPCS
1060009
ERONDMI CREAM DET LEHDNSOO BAG 14SGR
1FCS
1.700
8.500
5PCS
$1112
EKONOMT CREANDET IDLETEOO BAG 14ECR
1FCS
1.700
8.500
1X
20324
FODDRTO KOPI NONGKRUNG 15OL.ISI24
24FCS
19.500
19.500
2BUX
$0038
TEH RIO CULA CATU CUP 1AOML
24PCS
19.300
38.600
36PCS
10751
ZINC SHAMPOO BLACK SHINE DB SCT 1OML
1PCS
390
669
13.371
36FCS
10748
ZINC SHAMPOO REFRESHIHG COOL.OO SCT 1ONL
IPCS
390
669
13.371
90PCS
$0262
1CS
1.680
53.423
97.777
7FCS
2980
S
SEDAAP TE SORENG ALA CHEF BAG S3GR
1FCS
2.845,86
SEDAAP HIE CUNENG ALA CHEF BAC 93GR
19.921
3PCS
$2988
)>
1PCS
2.846
1Bx
SUKSES MIE CURENG AYM KREHES DAG 133R
8.538
24PCs
10032
84.650
3FCS
1.000
83.650
1ACS
2.70967
1B0X
20289
FOODRTD COLDA CAPPUCCINO 200 L ISI 12
8.129
12S
10PCS
34.800
20153
34.800
1PC3
10154
1.63900
10PCS
BTABEE REGULAR SRLD SEAUEEDISSR RERCENG
16.398
1PCS
1.63980
16.399
Harga sudah termasuk PPN
anda >>Trade PronoT
Klaim-Kesalahan Faktur tidak dilayani setelah dokumen ini ditanda tangani.
2.
Bila LUNAS Surat Pengantar as WAJIB diambil.Jika TIDAK, maka tetap menjadi tanggung jawab pelanggan.
3.
SUB TOTAL
00 Koli
4.Pembayaran dengan Giro harap diatasnamakan
387.453
K.259501,08
Hohon Penbayaran Hanya ke
PT Depok Distribusindo Raya Rekening yang Tertera Disini
Bank
Trade Prono
Selesai dibongkar jam....
8.538
Sebelum ditanda-tangan,harap diperiksa dengan benar.
Jika pesanan tidak sesuaihubungi
keluhan pelanggan 2x24 janIanpirkan
I Kude oustoner dan DetaiI nasalah
2.Bukti Sp dan lahel list
Ardiansyaht.
24.09.202523:55:59
Pembell (Nama &Stempel)
TOTAL YANG
Penjual
DIBAYAR
378.915
Lembar1Penjual CR/Pembeli Cash)
Lembar2Accounting
Lembar3Pembeli (CR/Penjual Cash)
Lembar4:Ekspedisi"
138,primer_0054.jpg,primer,PT Depok Distribusindo Raya,20.10.2015,84.650,24.0,1000.0,24000.0,"PT Depok Distribusindo Raya
No.NPHP07.106.142.5-641.2000
SURAT PENGANTAR
2153250060
Tgl.Pengukuhan Pxp20.10.2015
Tanggal4.09.2025
Hal/1
JLRaya 3ogor Km 37 No 107Depok Telp 021 B792853-55
Pembeli1928307/1928307
Kirim Ke928307
RESY-
2153250069
KIDS.NADYA/ETIN NURHAYATL
KIOS.NADYA/ETIN NURHAYATI
KELUHAN PELANGGAN
DEPOK
.BELINBING4 RT.2 U.15 N.BB4 14 KEL.SUKATANT KA021-50957907
P390230259-2512411351
DEPOK
NOMOR
NO.SHIPMENT
SALES
PEMBAYARAN
TANGGAL
NOMOR MOBIL
NOMOR POLISI
ORDER
JATUH TEMPO
NAMA SUPIR
80238152
REGY
176060904
CASH
24.09.2025
TDX000399
9852TCH
Sunawae
QUANTITY
KODE
BATCH
ISI
HARGA
PROMO
NAMA BARANG
REGULAR
JUMLAH
BARANG
Pcs
(Rp.)
DISCOUNT
DISCOUNT
(Rp.)
SPCS
1060009
ERONDMI CREAM DET LEHDNSOO BAG 14SGR
1FCS
1.700
8.500
5PCS
$1112
EKONOMT CREANDET IDLETEOO BAG 14ECR
1FCS
1.700
8.500
1X
20324
FODDRTO KOPI NONGKRUNG 15OL.ISI24
24FCS
19.500
19.500
2BUX
$0038
TEH RIO CULA CATU CUP 1AOML
24PCS
19.300
38.600
36PCS
10751
ZINC SHAMPOO BLACK SHINE DB SCT 1OML
1PCS
390
669
13.371
36FCS
10748
ZINC SHAMPOO REFRESHIHG COOL.OO SCT 1ONL
IPCS
390
669
13.371
90PCS
$0262
1CS
1.680
53.423
97.777
7FCS
2980
S
SEDAAP TE SORENG ALA CHEF BAG S3GR
1FCS
2.845,86
SEDAAP HIE CUNENG ALA CHEF BAC 93GR
19.921
3PCS
$2988
)>
1PCS
2.846
1Bx
SUKSES MIE CURENG AYM KREHES DAG 133R
8.538
24PCs
10032
84.650
3FCS
1.000
83.650
1ACS
2.70967
1B0X
20289
FOODRTD COLDA CAPPUCCINO 200 L ISI 12
8.129
12S
10PCS
34.800
20153
34.800
1PC3
10154
1.63900
10PCS
BTABEE REGULAR SRLD SEAUEEDISSR RERCENG
16.398
1PCS
1.63980
16.399
Harga sudah termasuk PPN
anda >>Trade PronoT
Klaim-Kesalahan Faktur tidak dilayani setelah dokumen ini ditanda tangani.
2.
Bila LUNAS Surat Pengantar as WAJIB diambil.Jika TIDAK, maka tetap menjadi tanggung jawab pelanggan.
3.
SUB TOTAL
00 Koli
4.Pembayaran dengan Giro harap diatasnamakan
387.453
K.259501,08
Hohon Penbayaran Hanya ke
PT Depok Distribusindo Raya Rekening yang Tertera Disini
Bank
Trade Prono
Selesai dibongkar jam....
8.538
Sebelum ditanda-tangan,harap diperiksa dengan benar.
Jika pesanan tidak sesuaihubungi
keluhan pelanggan 2x24 janIanpirkan
I Kude oustoner dan DetaiI nasalah
2.Bukti Sp dan lahel list
Ardiansyaht.
24.09.202523:55:59
Pembell (Nama &Stempel)
TOTAL YANG
Penjual
DIBAYAR
378.915
Lembar1Penjual CR/Pembeli Cash)
Lembar2Accounting
Lembar3Pembeli (CR/Penjual Cash)
Lembar4:Ekspedisi"
139,primer_0054.jpg,primer,PT Depok Distribusindo Raya,20.10.2015,34.800,10.0,10154.0,101540.0,"PT Depok Distribusindo Raya
No.NPHP07.106.142.5-641.2000
SURAT PENGANTAR
2153250060
Tgl.Pengukuhan Pxp20.10.2015
Tanggal4.09.2025
Hal/1
JLRaya 3ogor Km 37 No 107Depok Telp 021 B792853-55
Pembeli1928307/1928307
Kirim Ke928307
RESY-
2153250069
KIDS.NADYA/ETIN NURHAYATL
KIOS.NADYA/ETIN NURHAYATI
KELUHAN PELANGGAN
DEPOK
.BELINBING4 RT.2 U.15 N.BB4 14 KEL.SUKATANT KA021-50957907
P390230259-2512411351
DEPOK
NOMOR
NO.SHIPMENT
SALES
PEMBAYARAN
TANGGAL
NOMOR MOBIL
NOMOR POLISI
ORDER
JATUH TEMPO
NAMA SUPIR
80238152
REGY
176060904
CASH
24.09.2025
TDX000399
9852TCH
Sunawae
QUANTITY
KODE
BATCH
ISI
HARGA
PROMO
NAMA BARANG
REGULAR
JUMLAH
BARANG
Pcs
(Rp.)
DISCOUNT
DISCOUNT
(Rp.)
SPCS
1060009
ERONDMI CREAM DET LEHDNSOO BAG 14SGR
1FCS
1.700
8.500
5PCS
$1112
EKONOMT CREANDET IDLETEOO BAG 14ECR
1FCS
1.700
8.500
1X
20324
FODDRTO KOPI NONGKRUNG 15OL.ISI24
24FCS
19.500
19.500
2BUX
$0038
TEH RIO CULA CATU CUP 1AOML
24PCS
19.300
38.600
36PCS
10751
ZINC SHAMPOO BLACK SHINE DB SCT 1OML
1PCS
390
669
13.371
36FCS
10748
ZINC SHAMPOO REFRESHIHG COOL.OO SCT 1ONL
IPCS
390
669
13.371
90PCS
$0262
1CS
1.680
53.423
97.777
7FCS
2980
S
SEDAAP TE SORENG ALA CHEF BAG S3GR
1FCS
2.845,86
SEDAAP HIE CUNENG ALA CHEF BAC 93GR
19.921
3PCS
$2988
)>
1PCS
2.846
1Bx
SUKSES MIE CURENG AYM KREHES DAG 133R
8.538
24PCs
10032
84.650
3FCS
1.000
83.650
1ACS
2.70967
1B0X
20289
FOODRTD COLDA CAPPUCCINO 200 L ISI 12
8.129
12S
10PCS
34.800
20153
34.800
1PC3
10154
1.63900
10PCS
BTABEE REGULAR SRLD SEAUEEDISSR RERCENG
16.398
1PCS
1.63980
16.399
Harga sudah termasuk PPN
anda >>Trade PronoT
Klaim-Kesalahan Faktur tidak dilayani setelah dokumen ini ditanda tangani.
2.
Bila LUNAS Surat Pengantar as WAJIB diambil.Jika TIDAK, maka tetap menjadi tanggung jawab pelanggan.
3.
SUB TOTAL
00 Koli
4.Pembayaran dengan Giro harap diatasnamakan
387.453
K.259501,08
Hohon Penbayaran Hanya ke
PT Depok Distribusindo Raya Rekening yang Tertera Disini
Bank
Trade Prono
Selesai dibongkar jam....
8.538
Sebelum ditanda-tangan,harap diperiksa dengan benar.
Jika pesanan tidak sesuaihubungi
keluhan pelanggan 2x24 janIanpirkan
I Kude oustoner dan DetaiI nasalah
2.Bukti Sp dan lahel list
Ardiansyaht.
24.09.202523:55:59
Pembell (Nama &Stempel)
TOTAL YANG
Penjual
DIBAYAR
378.915
Lembar1Penjual CR/Pembeli Cash)
Lembar2Accounting
Lembar3Pembeli (CR/Penjual Cash)
Lembar4:Ekspedisi"
140,primer_0055.jpg,primer,pr pepuk Distribusindo Raya,09.10.2025,IPCS,1.0,775.0,775.0,"pr pepuk Distribusindo Raya
SURAT PENGANTAR
No.N07.106.142.-6412000
Hal/L
Tanggal09.10.2025
To1 Penqukhaa PKF 2010.201
REGY-
5
Kirim Ke920307
2153269828
KELIMAN PELANCGAN
KIDS.HADYA/ETIN KURHATATE
KIUS.NADYA/ETTN URHAYATL
JL.DELC4RT.2 R4.15HU.BD414KEL.SUKATAI KA 021-50957907
DEPOK
DEPUK
FS90230259-75J0813261
NAMA SUPIR
TANGGAL
NOMOR POLISI
NOMOR
NOMOR MOBIL
PEMBAYARAN
NO.SHIPMENT
SALES
JATUH TEMPO
ORDER
9840TCH
Faiar Praypga
09.10.2025
I08000401
177139167
CASH
REGY
REGULAR
JUMLAH
80239310
HARGA
PROMO
ISI
KODE
DISCOUNT
DISCOUNT
(Rp.)
BATCH
NAMA BARANG
(Pcs
(Rp.)
QUANTITY
BARANG
38.220
19.500
780
24PDS
200%
20324
FOODTD KPI ONCKHNC 15OL TI 24
99.600
19.300
7ROX
50038
TEN RIII CULA ATU CU S
84.000
1FCS
1.600
42.100
70262
KDPT TP CLA REN 226 R15
4.650
IPCS
775
775
7FU
1362929
SIKLIN PODES DET ONTESEF SCT 42CR R
CKKNKROIROES
Harga sudah termasuk PPN
Klaim Kesalahan Faktur tigak dilayani setelah dokumen ini ditanda tangani.
SUB TOTAL
2.
3.
Bila LUNASSurat Penganar asli WAJIB diambil.Jika TIDAK maka tetap menjadi tanggung jawab pelanggan
4.Pembayaran dengan Giro harap diatasnamakan
5,00 Koll
Hohon Cenbagaran Hanga ke
FT Depok
Ictribusindo Raya Rekealng yang Tertera Disina
Bank
DANKHUL
ARTA SENTOSA CRAS 1001031887
No.Rek.:
Selesai dibongkar jam
Sebelum ditanda-tangan, harap diperiksa dengan benar
01225
reanpelanrgaelavz4jan/Langarkan
 kaae custont aen DetallRasala
ktip an1ab 115t
S3AAAL28
910/2025044054
TOTAL YANG
Pembeli (Nama &Stempel)
Penjual
DIBAYAR
Lembar2:Accounting
Lembar1Penjual CR)/Pembeli Cash
Lembar 3Pembeli CR/Penjual Cash"
141,primer_0056.jpg,primer,2021-03-15,2021-03-15,led 10watt,1.0,25000.0,25000.0,"2021-03-15
AES_1990
12:28:37
No.0-1
led 10watt
1 X25.000
Rp 25.000
led 13watt
1X30.000
Rp 30.000
led 15 watt
3X35.000
Rp 105.000
led 16 watt
2X35.000
Rp 70.000
led 9watt
1X20.000
Rp 20.000
Total QTY:8
Total
250.000
Bayar Cash
300.000
Kembal1
50.000
Terimakasih
atas kepercayaan anda"
142,primer_0056.jpg,primer,2021-03-15,2021-03-15,led 13watt,1.0,30000.0,30000.0,"2021-03-15
AES_1990
12:28:37
No.0-1
led 10watt
1 X25.000
Rp 25.000
led 13watt
1X30.000
Rp 30.000
led 15 watt
3X35.000
Rp 105.000
led 16 watt
2X35.000
Rp 70.000
led 9watt
1X20.000
Rp 20.000
Total QTY:8
Total
250.000
Bayar Cash
300.000
Kembal1
50.000
Terimakasih
atas kepercayaan anda"
143,primer_0056.jpg,primer,2021-03-15,2021-03-15,led 15 watt,3.0,35000.0,105000.0,"2021-03-15
AES_1990
12:28:37
No.0-1
led 10watt
1 X25.000
Rp 25.000
led 13watt
1X30.000
Rp 30.000
led 15 watt
3X35.000
Rp 105.000
led 16 watt
2X35.000
Rp 70.000
led 9watt
1X20.000
Rp 20.000
Total QTY:8
Total
250.000
Bayar Cash
300.000
Kembal1
50.000
Terimakasih
atas kepercayaan anda"
144,primer_0056.jpg,primer,2021-03-15,2021-03-15,led 16 watt,2.0,35000.0,70000.0,"2021-03-15
AES_1990
12:28:37
No.0-1
led 10watt
1 X25.000
Rp 25.000
led 13watt
1X30.000
Rp 30.000
led 15 watt
3X35.000
Rp 105.000
led 16 watt
2X35.000
Rp 70.000
led 9watt
1X20.000
Rp 20.000
Total QTY:8
Total
250.000
Bayar Cash
300.000
Kembal1
50.000
Terimakasih
atas kepercayaan anda"
145,primer_0056.jpg,primer,2021-03-15,2021-03-15,led 9watt,1.0,20000.0,20000.0,"2021-03-15
AES_1990
12:28:37
No.0-1
led 10watt
1 X25.000
Rp 25.000
led 13watt
1X30.000
Rp 30.000
led 15 watt
3X35.000
Rp 105.000
led 16 watt
2X35.000
Rp 70.000
led 9watt
1X20.000
Rp 20.000
Total QTY:8
Total
250.000
Bayar Cash
300.000
Kembal1
50.000
Terimakasih
atas kepercayaan anda"
146,primer_0057.jpg,primer,SEAFOD48,2026-03-28,Rp 35.000,5.0,7000.0,0.0,"SEAFOD48
j1 mauk no 11 Sepatan kec.sepata
n kab.tangerang
263679220260328202503
2026-03-28
umron syaripudin
20:25:03
No.0-882
Nasi Uduk
Rp 35.000
5X7,000
Ayam Bakar
Rp 100.000
5X20,000
Es Teh Tawar
Rp 4.000
2X2,000
Rp 139.000
Total
Rp 139.000
Bayar (Cash)
Rp 0
Kembali
Link Kritik dan Saran:
o1shopin.com/f/2474922
Powered by Kasir Pintar
www.kasirpintar.co.id"
147,primer_0057.jpg,primer,SEAFOD48,2026-03-28,Rp 100.000,5.0,20000.0,0.0,"SEAFOD48
j1 mauk no 11 Sepatan kec.sepata
n kab.tangerang
263679220260328202503
2026-03-28
umron syaripudin
20:25:03
No.0-882
Nasi Uduk
Rp 35.000
5X7,000
Ayam Bakar
Rp 100.000
5X20,000
Es Teh Tawar
Rp 4.000
2X2,000
Rp 139.000
Total
Rp 139.000
Bayar (Cash)
Rp 0
Kembali
Link Kritik dan Saran:
o1shopin.com/f/2474922
Powered by Kasir Pintar
www.kasirpintar.co.id"
148,primer_0057.jpg,primer,SEAFOD48,2026-03-28,Rp 4.000,2.0,2000.0,139000.0,"SEAFOD48
j1 mauk no 11 Sepatan kec.sepata
n kab.tangerang
263679220260328202503
2026-03-28
umron syaripudin
20:25:03
No.0-882
Nasi Uduk
Rp 35.000
5X7,000
Ayam Bakar
Rp 100.000
5X20,000
Es Teh Tawar
Rp 4.000
2X2,000
Rp 139.000
Total
Rp 139.000
Bayar (Cash)
Rp 0
Kembali
Link Kritik dan Saran:
o1shopin.com/f/2474922
Powered by Kasir Pintar
www.kasirpintar.co.id"
